order_id,global_user_id,platform,order_time,payment_time,payment_method,shipping_address,order_status,total_amount,discount_amount,shipping_fee,tax_amount,promotion_id,coupon_code,shipping_method
DOUYIN20250101732638,U-DOUYIN-640204,douyin,2025-01-01 13:52:18,2025-01-01 14:46:18,微信支付,西安浦东新区64号楼19单元378室,已付款,2246.53,11.30,6.18,134.79,拼团优惠,YHMD4402,快递配送
DOUYIN20250101858401,U-DOUYIN-170716,douyin,2025-01-01 13:37:44,2025-01-01 14:11:44,银行卡,上海海淀区63号楼18单元1257室,已取消,4647.23,751.06,14.67,278.83,满减活动,,同城配送
DOUYIN20250101883803,U-DOUYIN-454823,douyin,2025-01-01 21:03:09,2025-01-01 21:15:09,银行卡,深圳福田区95号楼14单元1996室,已完成,3567.76,902.87,9.71,214.07,拼团优惠,,同城配送
DOUYIN20250101973275,U-DOUYIN-768731,douyin,2025-01-01 07:02:08,2025-01-01 07:43:08,花呗,南京朝阳区1号楼14单元275室,待付款,4312.55,159.47,13.80,258.75,秒杀活动,YHMD5037,自提
DOUYIN20250102291027,U-DOUYIN-608787,douyin,2025-01-02 10:45:33,2025-01-02 10:51:33,微信支付,南京福田区40号楼13单元1659室,已发货,2175.48,310.08,11.64,130.53,秒杀活动,,同城配送
DOUYIN20250102485502,U-DOUYIN-966257,douyin,2025-01-02 21:48:49,2025-01-02 22:00:49,微信支付,南京福田区5号楼13单元1841室,已取消,2551.96,721.40,13.48,153.12,拼团优惠,,自提
DOUYIN20250102763326,U-DOUYIN-839461,douyin,2025-01-02 00:03:33,2025-01-02 00:36:33,支付宝,西安朝阳区5号楼16单元1217室,已取消,826.33,241.93,1.48,49.58,优惠券,YHMD8582,同城配送
DOUYIN20250103248543,U-DOUYIN-305563,douyin,2025-01-03 14:01:08,2025-01-03 14:23:08,京东支付,上海朝阳区46号楼20单元1743室,已取消,1102.25,89.71,4.29,66.13,秒杀活动,,同城配送
DOUYIN20250103250723,U-DOUYIN-251799,douyin,2025-01-03 17:41:49,2025-01-03 18:41:49,花呗,北京福田区73号楼1单元890室,待付款,4714.23,852.35,14.19,282.85,拼团优惠,TLEMD3511,同城配送
DOUYIN20250103512081,U-DOUYIN-568623,douyin,2025-01-03 06:53:09,2025-01-03 07:24:09,银行卡,杭州浦东新区9号楼17单元645室,已完成,4300.69,982.92,9.18,258.04,拼团优惠,TLEMD5732,快递配送
DOUYIN20250103605595,U-DOUYIN-424139,douyin,2025-01-03 00:17:33,2025-01-03 01:03:33,微信支付,西安天河区40号楼20单元1188室,待付款,1820.66,73.86,16.10,109.24,满减活动,,自提
DOUYIN20250103617062,U-DOUYIN-709250,douyin,2025-01-03 02:55:55,2025-01-03 03:31:55,银行卡,成都浦东新区19号楼1单元1443室,已完成,3127.15,579.09,11.50,187.63,无促销,,快递配送
