global_user_id,platform_user_id,platform,user_name,gender,age,city,registration_date,phone,email,user_level
U-DOUYIN-100126,douyin_2376459,douyin,用户1066,f,33,南京,2026-07-01,14520699900,user4037@example.com,钻石会员
U-DOUYIN-101025,douyin_7756474,douyin,用户1892,m,58,南京,2025-09-14,19257206370,user6370@example.com,普通会员
U-DOUYIN-101123,douyin_6872326,douyin,用户7878,m,42,上海,2025-12-24,18546321608,user3479@example.com,银卡会员
U-DOUYIN-101202,douyin_6240928,douyin,用户7221,m,49,上海,2025-12-21,13736400724,user4002@example.com,普通会员
U-DOUYIN-101896,douyin_8106516,douyin,用户9953,f,31,重庆,2026-09-26,19720315771,user5238@example.com,普通会员
U-DOUYIN-102043,douyin_7005082,douyin,用户6086,f,27,杭州,2025-12-21,14665654504,user3368@example.com,钻石会员
U-DOUYIN-103827,douyin_3709434,douyin,用户4547,f,58,成都,2026-11-23,19422644209,user5760@example.com,钻石会员
U-DOUYIN-105663,douyin_2909689,douyin,用户5808,m,19,南京,2026-08-17,18569642350,user3680@example.com,钻石会员
U-DOUYIN-105936,douyin_5436515,douyin,用户9093,m,26,南京,2026-03-04,18149133626,user7482@example.com,金卡会员
U-DOUYIN-106034,douyin_5704534,douyin,用户5799,m,51,北京,2026-08-06,18126494129,user8466@example.com,钻石会员
U-DOUYIN-106054,douyin_8017494,douyin,用户9804,m,58,武汉,2025-10-28,13974835995,user2787@example.com,金卡会员
U-DOUYIN-106163,douyin_6269232,douyin,用户4769,m,46,杭州,2026-03-21,13147485595,user5723@example.com,银卡会员
U-DOUYIN-106616,douyin_9374917,douyin,用户5680,f,60,武汉,2025-12-05,18344485272,user9197@example.com,金卡会员
U-DOUYIN-106821,douyin_2778041,douyin,用户2254,m,49,重庆,2026-11-02,15745119909,user5038@example.com,金卡会员
U-DOUYIN-107284,douyin_9988845,douyin,用户7140,m,53,北京,2025-09-27,13445391049,user1442@example.com,钻石会员
U-DOUYIN-107967,douyin_1302013,douyin,用户7288,f,33,南京,2026-10-01,17911310027,user9792@example.com,银卡会员
U-DOUYIN-108039,douyin_9233674,douyin,用户9114,f,22,广州,2025-07-02,13122868222,user5247@example.com,钻石会员
U-DOUYIN-109297,douyin_2015575,douyin,用户9534,m,45,武汉,2026-01-05,19365351747,user7554@example.com,银卡会员
U-DOUYIN-109426,douyin_1866424,douyin,用户9240,f,39,西安,2025-10-24,19855205818,user6850@example.com,钻石会员
U-DOUYIN-110329,douyin_8124853,douyin,用户7010,f,56,广州,2025-02-12,16509485559,user7250@example.com,普通会员
U-DOUYIN-110351,douyin_3214511,douyin,用户6447,m,29,武汉,2026-07-19,16398317348,user7508@example.com,普通会员
U-DOUYIN-110764,douyin_5231115,douyin,用户5519,f,18,重庆,2026-11-10,16294574261,user7903@example.com,普通会员
U-DOUYIN-111112,douyin_3921147,douyin,用户9722,m,36,西安,2026-03-10,13405939954,user6101@example.com,银卡会员
U-DOUYIN-111262,douyin_2366517,douyin,用户6649,m,41,上海,2026-10-03,15145086387,user7725@example.com,普通会员
